Base de dados,Número,Autor(es) e Ano,Título do Artigo
IEEE,1,"Yan, B. et al. (2020)",A Case Study for Software Quality Evaluation Based on SCT Model With BP Neural Network
IEEE,2,"Shen, B. & Ruan, T. (2008)",A Case Study of Software Process Improvement in a Chinese Small Company
IEEE,3,"Lee, B.R. et al. (2008)",A Competitive-Perspective Evaluation Framework of Software Firms
IEEE,4,"Al-Matouq, H. et al. (2020)",A Maturity Model for Secure Software Design: A Multivocal Study
IEEE,5,"Silva, F.S. et al. (2014)",A Reference Model for Agile Quality Assurance: Combining Agile Methodologies and Maturity Models
IEEE,6,"Condor, S. et al. (2016)","Adoption of ISO/IEC 29119-2 software testing practices: An exploratory analysis in organizations in Lima, Perú"
IEEE,7,"Henríquez, V. & Moreno, A.M. (2021)",Agile Governance Guidelines for Software Development SMEs
IEEE,8,"Suula, M. et al. (2009)",An approach to characterize a software process
IEEE,9,"Khan, R.A. et al. (2019)",An Evaluation Framework for Communication and Coordination Processes in Offshore Software Development Outsourcing Relationship: Using Fuzzy Methods
IEEE,10,"Hartono, S. et al. (2019)",Analysis of Trouble Ticket System Using COBIT 5 Framework (A Case Study Approach)
IEEE,11,"Farooq, U. et al. (2021)","Blockchain-Based Software Process Improvement (BBSPI): An Approach for SMEs to Perform Process Improvement, Applicable to Defined Level - 3"
IEEE,12,"Varkoi, T.K. & Makinen, T.K. (1998)",Case study of CMM and SPICE comparison in software process assessment
IEEE,13,"Miller, J.R. & Haddad, H.M. (2012)",Challenges Faced While Simultaneously Implementing CMMI and Scrum: A Case Study in the Tax Preparation Software Industry
IEEE,14,"Latif, A.A. et al. (2010)",Challenges in Adopting and Integrating ITIL and CMMi in ICT Division of a Public Utility Company
IEEE,15,"Rong, G. et al. (2016)",CMMI Guided Process Improvement for DevOps Projects: An Exploratory Case Study
IEEE,16,"Lin, J.J.Y. & Lin, Y.-S. (2007)",Collaborative Requirement Management System Developed for CMMI-Coherent Software Engineering
IEEE,17,"Ahmad, M. & Rana, Z.A. (2021)",Comparative Analysis of light weight practices for SPI in small and medium software organizations
IEEE,18,"Tuncel, D. et al. (2020)",Comparison of Agile Maturity Models: Reflecting the Real Needs
IEEE,19,"Mishra, S. & Schlingloff, B.-H. (2008)",Compliance of CMMI Process Area with Specification Based Development
IEEE,20,"Li, C.H. et al. (2024)",Development of Laboratory Information Management System 4.0 (LIMS 4.0) in the TIC Industry through Industry 5.0 and CMMI assessment model
IEEE,21,"García-Mireles, G.A. et al. (2012)",Development of maturity models: A systematic literature review
IEEE,22,"Rajab, R. & Alnoukari, M. (2025)",DevOps Integration With Capability Model Maturity Integration: A Systematic Mapping Review
IEEE,23,"Leal, G.C.L. et al. (2012)",Empirical study about the evaluation of the implantation of MPS.Br in enterprises of Paraná
IEEE,24,"Amer, S.K. et al. (2017)",Empirical study on the effectiveness of adopting software quality frameworks in the Egyptian software industry
IEEE,25,"Nikula, U. et al. (2009)",Extending Process Improvement into a New Organizational Unit
IEEE,26,"Riaz, M.N. (2017)",Factors affecting the transition time between capability maturity model integration (CMMI) levels in software industry of Pakistan: An empirical study
IEEE,27,"Rashid, N. et al. (2021)",Green-Agile Maturity Model: An Evaluation Framework for Global Software Development Vendors
IEEE,28,"Ozkan, N. et al. (2020)",Harmonizing IT Frameworks and Agile Methods: Challenges and Solutions for the case of COBIT and Scrum
IEEE,29,"Hauck, J.C.R. et al. (2015)",Harmonizing MPS.BR and CERTICS: A Case Study in a Maturity Level F Organization
IEEE,30,"Luqman, A. (2005)",Implementation And Analysis of CMMI's Configuration Management Process Area
IEEE,31,"Tosun, A. et al. (2009)",Implementation of a Software Quality Improvement Project in an SME: A Before and After Comparison
IEEE,32,"de Souza, V.F. et al. (2016)",Improvement of software process small business using SPEM: A case study on requirements engineering
IEEE,33,"Wibawa, A.S. et al. (2021)",Improving the Quality of Requirements Engineering Process in Software Development with Agile Methods: a Case Study Telemedicine Startup XYZ
IEEE,34,"Arauz, G. et al. (2016)",Integrating Agile Methods into a Level 5 CMMI-DEV Organization: a Case Study
IEEE,35,"Lami, G. et al. (2015)",Investigation on Common Software Process Weaknesses in Automotive
IEEE,36,"Liu, Y. et al. (2022)",iTrustEval: A framework for software trustworthiness evaluation with an intelligent AHP-based method
IEEE,37,"Abdel-Hamid, A.N. & Hamouda, A.E.-d. (2015)",Lean CMMI: An Iterative and Incremental Approach to CMMI-Based Process Improvement
IEEE,38,"Middleton, P. & Joyce, D. (2012)",Lean Software Management: BBC Worldwide Case Study
IEEE,39,"Sommerville, I. et al. (1999)",Managing process inconsistency using viewpoints
IEEE,40,"Ponce, L. et al. (2024)",Maturity Model for PCI SLC Compliance for Peruvian Software Development Companies based on CMMI
IEEE,41,"Zhafrani, M.H. et al. (2024)",Measuring E-Governance System (SPBE) Development Maturity Level with CMMI Model V2.0: A Case Study of XYZ City Government
IEEE,42,"Silva, J.P.S.D. et al. (2015)",OntoQAI: An Ontology to Support Quality Assurance Inspections
